province_name,date_report,Temperature,Relative Humidity
New Brunswick,03/14/2020,35.9,56.51
New Brunswick,03/15/2020,24.1,53.04
New Brunswick,03/16/2020,21.2,50.21
New Brunswick,03/17/2020,25.6,79.24
New Brunswick,03/18/2020,31.1,58.81
New Brunswick,03/19/2020,30.3,60.56
New Brunswick,03/20/2020,38.5,96.18
New Brunswick,03/21/2020,33.1,46.26
New Brunswick,03/22/2020,18,42.79
New Brunswick,03/23/2020,20.3,59.42
New Brunswick,03/24/2020,31.6,85.98
New Brunswick,03/25/2020,32.5,67.39
New Brunswick,03/26/2020,34.8,59.53
New Brunswick,03/27/2020,33.6,76.28
New Brunswick,03/28/2020,37.9,52.87
New Brunswick,03/29/2020,36.2,49.84
New Brunswick,03/30/2020,34,62.56
New Brunswick,03/31/2020,32.8,63.57
New Brunswick,04-01-2020,33.7,91.75
New Brunswick,04-02-2020,38.9,92.58
New Brunswick,04-03-2020,39.4,83.85
New Brunswick,04-04-2020,35.3,75.16
New Brunswick,04-05-2020,39.6,64.28
New Brunswick,04-06-2020,42.2,54.42
New Brunswick,04-07-2020,34.7,48.29
New Brunswick,04-08-2020,34.6,52.82
New Brunswick,04-09-2020,33.1,69.23
New Brunswick,04-10-2020,31.5,88.71
New Brunswick,04-11-2020,35.4,71.41
New Brunswick,04-12-2020,40.9,52.54
New Brunswick,04/13/2020,42.8,87.56
New Brunswick,04/14/2020,48.3,56.54
New Brunswick,04/15/2020,40.8,45.72
New Brunswick,04/16/2020,35.3,46
New Brunswick,04/17/2020,34.8,51.56
New Brunswick,04/18/2020,35.1,53.43
New Brunswick,04/19/2020,40.8,50.92
New Brunswick,04/20/2020,40,50.37
New Brunswick,04/21/2020,37.6,42.89
New Brunswick,04/22/2020,33.9,71.62
New Brunswick,04/23/2020,33.3,49.17
New Brunswick,04/24/2020,41.4,32.95
New Brunswick,04/25/2020,42.6,36.11
New Brunswick,04/26/2020,44.3,44.44
New Brunswick,04/27/2020,43,37.11
New Brunswick,04/28/2020,42,44.57
New Brunswick,04/29/2020,45,50.67
New Brunswick,04/30/2020,42.3,63.84
New Brunswick,05-01-2020,48.9,84.6
New Brunswick,05-02-2020,49.1,69.8
New Brunswick,05-03-2020,47.1,62.78
New Brunswick,05-04-2020,46.6,90.19
New Brunswick,05-05-2020,37.8,80.72
New Brunswick,05-06-2020,45,60.83
New Brunswick,05-07-2020,44.3,55.93
Newfoundland and Labrador,03/14/2020,31.1,85.41
Newfoundland and Labrador,03/15/2020,28.5,71.5
Newfoundland and Labrador,03/16/2020,19.8,65.72
Newfoundland and Labrador,03/17/2020,20.5,69.52
Newfoundland and Labrador,03/18/2020,32.4,85.61
Newfoundland and Labrador,03/19/2020,25.5,65.99
Newfoundland and Labrador,03/20/2020,26.1,79.7
Newfoundland and Labrador,03/21/2020,36.3,83.49
Newfoundland and Labrador,03/22/2020,21.8,64.74
Newfoundland and Labrador,03/23/2020,23.1,60.21
Newfoundland and Labrador,03/24/2020,26.9,80.75
Newfoundland and Labrador,03/25/2020,30.3,95.64
Newfoundland and Labrador,03/26/2020,28.3,86.79
Newfoundland and Labrador,03/27/2020,33.5,98.96
Newfoundland and Labrador,03/28/2020,33,93.11
